Catégorie : Toutes catégories

Semaine,tesla: (États-Unis)
2019-01-06,21
2019-01-13,21
2019-01-20,20
2019-01-27,20
2019-02-03,20
2019-02-10,19
2019-02-17,20
2019-02-24,31
2019-03-03,29
2019-03-10,35
2019-03-17,28
2019-03-24,25
2019-03-31,26
2019-04-07,23
2019-04-14,22
2019-04-21,32
2019-04-28,26
2019-05-05,26
2019-05-12,25
2019-05-19,28
2019-05-26,25
2019-06-02,29
2019-06-09,27
2019-06-16,27
2019-06-23,26
2019-06-30,27
2019-07-07,24
2019-07-14,25
2019-07-21,28
2019-07-28,24
2019-08-04,23
2019-08-11,23
2019-08-18,24
2019-08-25,22
2019-09-01,21
2019-09-08,23
2019-09-15,23
2019-09-22,25
2019-09-29,25
2019-10-06,24
2019-10-13,25
2019-10-20,30
2019-10-27,25
2019-11-03,23
2019-11-10,24
2019-11-17,100
2019-11-24,91
2019-12-01,34
2019-12-08,29
2019-12-15,30
2019-12-22,36
2019-12-29,29
2020-01-05,29
2020-01-12,30
2020-01-19,30
2020-01-26,34
2020-02-02,54
2020-02-09,35
2020-02-16,34
2020-02-23,35
2020-03-01,30
2020-03-08,31
2020-03-15,30
2020-03-22,26
2020-03-29,20
2020-04-05,19
2020-04-12,21
2020-04-19,19
2020-04-26,27
2020-05-03,24
2020-05-10,29
2020-05-17,22
2020-05-24,27
2020-05-31,25
2020-06-07,34
2020-06-14,29
2020-06-21,30
2020-06-28,33
2020-07-05,39
2020-07-12,42
2020-07-19,47
2020-07-26,34
2020-08-02,29
2020-08-09,37
2020-08-16,45
2020-08-23,45
2020-08-30,63
2020-09-06,46
2020-09-13,41
2020-09-20,55
2020-09-27,40
2020-10-04,33
2020-10-11,35
2020-10-18,38
2020-10-25,30
2020-11-01,24
2020-11-08,29
2020-11-15,39
2020-11-22,37
2020-11-29,39
2020-12-06,42
2020-12-13,38
2020-12-20,39
2020-12-27,40
2021-01-03,49
2021-01-10,50
2021-01-17,39
2021-01-24,53
2021-01-31,46
2021-02-07,42
2021-02-14,40
2021-02-21,49
2021-02-28,46
2021-03-07,48
2021-03-14,41
